"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"BT1","BS-08-B2AA001","https://www.keyelco.com/userAssets/file/M65p9.pdf","aaafootlib:BS-08-B2AA001","1","","C964777"
"C1","C10u","~","Capacitor_SMD:C_0402_1005Metric","1",""," C15525"
"C2,C3,C4,C5,C6,C12,C13,C15,C16","C100n","~","Capacitor_SMD:C_0402_1005Metric","9","","C60474"
"C7","C1n","~","Capacitor_SMD:C_0402_1005Metric","1","","C106205"
"C8,C9","C330n","~","Capacitor_SMD:C_0402_1005Metric","2","","C107013"
"C10","C1n5","~","Capacitor_SMD:C_0402_1005Metric","1","","C107022"
"C11","C10n","~","Capacitor_SMD:C_0402_1005Metric","1","","C60133"
"C14,C17","C330u","~","Capacitor_SMD:CP_Elec_6.3x7.7","2","","C7461238"
"D1","BAT54C-7-F","http://www.farnell.com/datasheets/2861240.pdf?_ga=2.129831176.54358802.1587372871-1787849031.1568210898&_gac=1.175311126.1587399424.EAIaIQobChMInOvF07P36AIVw7HtCh0NWwCeEAAYAyAAEgI0YfD_BwE","Package_TO_SOT_SMD:SOT-23","1","","C556168"
"D2","MBRS130LT3G","~","Diode_SMD:D_SMB","1","","C51771"
"J1","Conn_02x03_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","1","","C192301"
"J2,J5","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left","2","","C2883763"
"J3","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","DNP",""
"J4","Conn_01x03_Socket","~","Connector_Molex:Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal","1","","C503478"
"J6","Jack-DC","~","Connector_BarrelJack:BarrelJack_Horizontal","1","","C16214"
"JP1","Jumper_2_Open","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","DNP",""
"L1","L150u","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_cjiang--Changjiang-Microelectronics-Tech-FNR6045S151MT_C168097.pdf","Inductor_SMD:L_Changjiang_FNR6045S","1","","C168097"
"R1,R2","R330","~","Capacitor_SMD:C_0402_1005Metric","2","","C12246"
"R3,R4,R7,R8,R18","R180k","~","Resistor_SMD:R_0402_1005Metric","5","","C138046"
"R5,R6,R9,R10,R15,R16","R10M","~","Resistor_SMD:R_0402_1005Metric","6","","C138067"
"R11","R1M4","~","Resistor_SMD:R_0402_1005Metric","1","","C270644"
"R12,R13,R17","R1M","~","Resistor_SMD:R_0402_1005Metric","3","","C138033"
"R14","R100k","~","Resistor_SMD:R_0402_1005Metric","1","","C60491"
"R19","R0","~","Resistor_SMD:R_0402_1005Metric","1",""," C17168"
"RN1","R_Pack04","~","Resistor_SMD:R_Array_Concave_4x0603","1","","C29719"
"SW1,SW2","SW_Push","~","Button_Switch_SMD:SW_SPST_B3SL-1022P","2","","C86708"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8","TestPoint_2Pole","~","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill0.7mm","8","DNP",""
"U1","ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","RF_Module:ESP32-WROOM-32","1",""," C82899"
"U2","AD8232ACPZ-R7","","aaafootlib:QFN50P400X400X100-21N","1","","C43216"
"U4","LM2594HVM-3.3","http://www.ti.com/lit/ds/symlink/lm2594.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","C18057294"
