Designator,Mid X,Mid Y,Rotation,Layer
BT1,262.711775,-88.731876,135,top
C1,206,-127,0,top
C2,207,-128,0,top
C3,187,-82,0,top
C4,187,-90.5,0,top
C5,224.27,-87.25,180,top
C6,224,-92.75,0,top
C7,191.3,-64.3,180,top
C8,193.5,-59.5,0,top
C9,199,-70.5,-90,top
C10,196.48,-68,0,top
C11,196.5,-70,0,top
C12,197.98,-58.5,0,top
C13,199,-61,90,top
C14,240.5,-108.75,-90,top
C15,242.75,-103.5,0,top
C16,240.25,-94.75,0,top
C17,233.45,-96.75,180,top
D1,222.5625,-89.7,180,top
D2,249.65,-98.5,0,top
J1,211.989393,-95.581496,-45,top
J2,241.364339,-123.5,135,top
J3,223.225,-95.5,90,top
J4,174.685894,-61.428534,45,top
J5,228,-137,-45,top
J6,248.757359,-105.507359,135,top
JP1,260.703949,-104.703949,45,top
L1,242,-90.75,180,top
R1,187,-83.5,180,top
R2,187,-92,180,top
R3,190.21,-61.5,0,top
R4,190.26,-63.25,0,top
R5,183,-54.2,0,top
R6,183,-53,0,top
R7,188.3,-65.4,180,top
R8,190.3,-65.4,180,top
R9,193.51,-58.5,180,top
R10,196.49,-71,180,top
R11,194.5,-71,180,top
R12,196.49,-69,180,top
R13,199,-66.5,90,top
R14,199,-68.5,90,top
R15,197.99,-59.5,180,top
R16,200,-61,-90,top
R17,194.5,-69,0,top
R18,200,-63,90,top
R19,237.76,-101.75,-90,top
RN1,227.85,-116.25,180,top
SW1,181,-84,0,top
SW2,181,-92.35,0,top
TP1,183.73,-67.5,0,top
TP2,186.27,-48.5,180,top
TP3,183.73,-58,0,top
TP4,201.73,-66,0,top
TP5,166.23,-67.5,0,top
TP6,166.23,-75.833333,0,top
TP7,166.23,-84.166666,0,top
TP8,166.23,-92.5,0,top
U1,203.280141,-113.836531,135,top
U2,195,-63.435,0,top
U4,241.725,-99.155,-90,top
