Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BS-08-B2AA001","BS-08-B2AA001",262.711775,-88.731876,135.000000,top
"C1","C10u","C_0402_1005Metric",206.000000,-127.000000,0.000000,top
"C2","C100n","C_0402_1005Metric",207.000000,-128.000000,0.000000,top
"C3","C100n","C_0402_1005Metric",187.000000,-82.000000,0.000000,top
"C4","C100n","C_0402_1005Metric",187.000000,-90.500000,0.000000,top
"C5","C100n","C_0402_1005Metric",224.270000,-87.250000,180.000000,top
"C6","C100n","C_0402_1005Metric",224.000000,-92.750000,0.000000,top
"C7","C1n","C_0402_1005Metric",191.300000,-64.300000,180.000000,top
"C8","C330n","C_0402_1005Metric",193.500000,-59.500000,0.000000,top
"C9","C330n","C_0402_1005Metric",199.000000,-70.500000,-90.000000,top
"C10","C1n5","C_0402_1005Metric",196.480000,-68.000000,0.000000,top
"C11","C10n","C_0402_1005Metric",196.500000,-70.000000,0.000000,top
"C12","C100n","C_0402_1005Metric",197.980000,-58.500000,0.000000,top
"C13","C100n","C_0402_1005Metric",199.000000,-61.000000,90.000000,top
"C14","C330u","CP_Elec_6.3x7.7",240.500000,-108.750000,-90.000000,top
"C15","C100n","C_0402_1005Metric",242.750000,-103.500000,0.000000,top
"C16","C100n","C_0402_1005Metric",240.250000,-94.750000,0.000000,top
"C17","C330u","CP_Elec_6.3x7.7",233.450000,-96.750000,180.000000,top
"D1","BAT54C-7-F","SOT-23",222.562500,-89.700000,180.000000,top
"D2","MBRS130LT3G","D_SMB",249.650000,-98.500000,0.000000,top
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical_SMD",211.989393,-95.581496,-45.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",241.364339,-123.500000,135.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",223.225000,-95.500000,90.000000,top
"J4","Conn_01x03_Socket","Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal",174.685894,-61.428534,45.000000,top
"J5","Conn_01x04_Pin","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",228.000000,-137.000000,-45.000000,top
"J6","Jack-DC","BarrelJack_Horizontal",248.757359,-105.507359,135.000000,top
"JP1","Jumper_2_Open","PinSocket_1x02_P2.54mm_Vertical",260.703949,-104.703949,45.000000,top
"L1","L150u","L_Changjiang_FNR6045S",242.000000,-90.750000,180.000000,top
"R1","R330","C_0402_1005Metric",187.000000,-83.500000,180.000000,top
"R2","R330","C_0402_1005Metric",187.000000,-92.000000,180.000000,top
"R3","R180k","R_0402_1005Metric",190.210000,-61.500000,0.000000,top
"R4","R180k","R_0402_1005Metric",190.260000,-63.250000,0.000000,top
"R5","R10M","R_0402_1005Metric",183.000000,-54.200000,0.000000,top
"R6","R10M","R_0402_1005Metric",183.000000,-53.000000,0.000000,top
"R7","R180k","R_0402_1005Metric",188.300000,-65.400000,180.000000,top
"R8","R180k","R_0402_1005Metric",190.300000,-65.400000,180.000000,top
"R9","R10M","R_0402_1005Metric",193.510000,-58.500000,180.000000,top
"R10","R10M","R_0402_1005Metric",196.490000,-71.000000,180.000000,top
"R11","R1M4","R_0402_1005Metric",194.500000,-71.000000,180.000000,top
"R12","R1M","R_0402_1005Metric",196.490000,-69.000000,180.000000,top
"R13","R1M","R_0402_1005Metric",199.000000,-66.500000,90.000000,top
"R14","R100k","R_0402_1005Metric",199.000000,-68.500000,90.000000,top
"R15","R10M","R_0402_1005Metric",197.990000,-59.500000,180.000000,top
"R16","R10M","R_0402_1005Metric",200.000000,-61.000000,-90.000000,top
"R17","R1M","R_0402_1005Metric",194.500000,-69.000000,0.000000,top
"R18","R180k","R_0402_1005Metric",200.000000,-63.000000,90.000000,top
"R19","R0","R_0402_1005Metric",237.760000,-101.750000,-90.000000,top
"RN1","R_Pack04","R_Array_Concave_4x0603",227.850000,-116.250000,180.000000,top
"SW1","SW_Push","SW_SPST_B3SL-1022P",181.000000,-84.000000,0.000000,top
"SW2","SW_Push","SW_SPST_B3SL-1022P",181.000000,-92.350000,0.000000,top
"TP1","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",183.730000,-67.500000,0.000000,top
"TP2","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",186.270000,-48.500000,180.000000,top
"TP3","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",183.730000,-58.000000,0.000000,top
"TP4","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",201.730000,-66.000000,0.000000,top
"TP5","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",166.230000,-67.500000,0.000000,top
"TP6","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",166.230000,-75.833333,0.000000,top
"TP7","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",166.230000,-84.166666,0.000000,top
"TP8","TestPoint_2Pole","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",166.230000,-92.500000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",203.280141,-113.836531,135.000000,top
"U2","AD8232ACPZ-R7","QFN50P400X400X100-21N",195.000000,-63.435000,0.000000,top
"U4","LM2594HVM-3.3","SOIC-8_3.9x4.9mm_P1.27mm",241.725000,-99.155000,-90.000000,top
